City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,tucumcari,35.1717,-103.725,6.91,87,0,4.12,US,1699938201
149,salvador,13.8333,-88.9167,23.92,96,99,0.52,SV,1699938085
150,hamilton,39.1834,-84.5333,9.87,56,26,0.45,US,1699938005
151,porto novo,6.4965,2.6036,24.9,88,5,0.3,BJ,1699938202
152,holualoa,19.6228,-155.9522,23.77,84,49,0.45,US,1699938202
153,hawaiian paradise park,19.5933,-154.9731,22.24,94,61,0.45,US,1699938202
154,hasaki,35.7333,140.8333,18.22,35,1,1.47,JP,1699938202
155,portland,45.5234,-122.6762,8.94,91,0,1.34,US,1699937700
156,shushenskoye,53.325,91.9356,1.06,81,100,6.57,RU,1699938203
157,sinabang,2.4803,96.3801,25.73,86,100,2.49,ID,1699938203
158,undurkhaan,47.3194,110.6556,-9.62,76,14,1.54,MN,1699938203
159,coquimbo,-29.9533,-71.3436,13.85,82,1,2.06,CL,1699938167
160,peterhead,57.5058,-1.7981,8.22,77,100,9.45,GB,1699938204
161,khargone,21.8167,75.6,25.72,35,100,3.07,IN,1699938204
162,cidade velha,14.9167,-23.6167,24.26,78,0,4.63,CV,1699938204
163,hammerfest,70.6634,23.6821,-0.75,93,75,0.0,NO,1699938204
164,nova xavantina,-14.6667,-52.35,25.74,42,5,0.65,BR,1699938077
165,birecik,37.0294,37.9903,15.56,66,100,2.89,TR,1699938204
166,nouna,12.7333,-3.8667,23.31,18,2,3.57,BF,1699938204
167,najran,17.4924,44.1277,16.36,44,20,1.35,SA,1699938205
168,khash,28.2211,61.2158,18.02,21,65,1.27,IR,1699938205
169,wailua homesteads,22.0669,-159.378,26.24,86,72,0.45,US,1699938205
170,manghit,42.1156,60.0597,2.99,32,15,5.95,UZ,1699938205
171,santa ines,-3.6667,-45.38,23.7,88,11,1.55,BR,1699938205
172,mar del plata,-38.0023,-57.5575,13.38,58,0,5.36,AR,1699938206
173,jamestown,42.097,-79.2353,7.06,70,0,5.66,US,1699938092
174,cordoba,-31.4135,-64.1811,14.58,84,0,2.06,AR,1699938206
175,kindu,-2.95,25.95,21.12,100,100,0.71,CD,1699938206
176,talara,-4.5772,-81.2719,20.61,84,17,7.78,PE,1699938206
177,ust'-ilimsk,58.0006,102.6619,-1.98,95,99,4.47,RU,1699938206
178,upata,8.0086,-62.3989,24.0,89,17,2.4,VE,1699938207
179,mikomeseng,2.1361,10.6132,19.95,99,59,0.79,GQ,1699938207
180,vilyuysk,63.7553,121.6247,-10.46,94,100,2.38,RU,1699938207
181,san julian,21.0167,-102.1667,17.26,62,92,3.26,MX,1699938207
182,novodvinsk,64.4165,40.8122,-3.45,91,97,2.75,RU,1699938207
183,ritchie,-29.038,24.6028,16.56,42,3,6.81,ZA,1699938208
184,longyearbyen,78.2186,15.6401,-11.09,79,20,3.6,SJ,1699938200
185,ashibetsu,43.5097,142.1856,0.86,96,98,1.6,JP,1699938208
186,paoua,7.2427,16.4406,21.26,88,64,1.06,CF,1699938208
187,kresttsy,58.2452,32.5165,0.4,97,100,2.77,RU,1699938208
188,salekhard,66.53,66.6019,-16.98,98,100,1.3,RU,1699938208
189,east ballina,-28.8667,153.5833,27.11,74,34,6.94,AU,1699938208
190,durango,24.8333,-104.8333,12.55,83,80,1.85,MX,1699938053
191,uturoa,-16.7333,-151.4333,26.85,84,68,8.93,PF,1699938209
192,birao,10.2849,22.7882,24.64,64,31,1.19,CF,1699938151
193,illizi,26.4833,8.4667,14.89,39,1,2.67,DZ,1699938209
194,tefe,-3.3542,-64.7114,26.57,74,95,0.49,BR,1699938208
195,marathon,44.9,-89.7668,2.11,78,0,0.0,US,1699938209
196,xining,36.6167,101.7667,5.77,34,0,0.68,CN,1699938209
197,nzega,-2.479,29.5564,14.96,87,82,0.53,RW,1699938210
198,calatayud,41.3535,-1.6432,14.82,84,25,2.97,ES,1699938210
199,kavaratti,10.5669,72.642,27.64,69,70,1.01,IN,1699938210
200,yoloten,37.2989,62.3597,17.22,34,29,6.23,TM,1699938210
201,crane,31.3974,-102.3501,10.91,83,100,2.53,US,1699938210
202,kansk,56.2017,95.7175,1.16,84,100,6.82,RU,1699938210
203,levuka,50.1834,-105.4011,3.84,57,17,6.06,CA,1699938211
204,mount pearl,47.5166,-52.7813,-0.38,82,100,2.06,CA,1699938211
205,kourou,5.1552,-52.6478,25.03,90,17,2.5,GF,1699938211
206,chinde,26.8418,88.0763,20.32,46,25,2.26,NP,1699938211
207,north bend,43.4065,-124.2243,12.14,88,96,3.33,US,1699938211
208,klyuchi,52.2667,79.1667,4.62,78,93,4.04,RU,1699938212
209,susuman,62.7833,148.1667,-31.14,99,72,0.63,RU,1699938212
210,ryotsu-minato,38.0833,138.4333,11.52,61,92,5.24,JP,1699938212
211,basudebpur,21.1353,86.7386,27.48,45,100,4.38,IN,1699938212
212,bocaiuva,-17.1078,-43.815,22.84,38,4,1.39,BR,1699938165
213,nebraska city,40.6767,-95.8592,12.3,40,0,5.14,US,1699938213
214,port saint john's,-31.6229,29.5448,16.96,73,97,1.92,ZA,1699938213
215,conceicao da barra,-18.5933,-39.7322,22.08,90,68,1.89,BR,1699938087
216,harstad,68.799,16.5293,-2.69,75,12,4.92,NO,1699938213
217,knyaze-volkonskoye,48.4642,135.4567,-5.81,87,70,2.24,RU,1699938214
218,motygino,58.1831,94.7592,-4.01,82,66,4.92,RU,1699938214
219,tura,25.5198,90.2201,26.81,56,16,0.9,IN,1699938214
220,moissala,8.3404,17.7663,23.46,80,51,1.08,TD,1699938214
221,murzuq,25.9155,13.9184,17.04,52,0,4.24,LY,1699938214
222,qionghai,19.2425,110.4642,24.74,84,95,5.67,CN,1699938214
223,port elizabeth,-33.918,25.5701,17.4,75,75,5.14,ZA,1699938135
224,praia da vitoria,38.7333,-27.0667,16.53,94,20,2.72,PT,1699938215
225,saipan,15.1355,145.701,28.47,77,45,10.55,MP,1699938215
226,puerto deseado,-47.7503,-65.8938,7.64,53,92,10.02,AR,1699938119
227,west odessa,31.8424,-102.4988,11.49,89,100,3.09,US,1699938215
228,rongelap,11.1635,166.8941,27.92,82,100,7.86,MH,1699938216
229,panama city beach,30.1766,-85.8055,16.11,82,75,3.13,US,1699937974
230,pacific grove,36.6177,-121.9166,12.16,85,0,2.57,US,1699938216
